,ars,aces,name,address,phone,email,schedule,reservation,presencial,drive,domicile
0,ARS Norte,ACES Alto Minho, Viana do Castelo (Germano de Sousa),Rua D. Moisés Alves de Pinho 4900-314 Viana do Castelo,969030806,covid19.viana@germanodesousa.com,2ª feira a sábado: 09H às 13H | 14H às 17H; Domingos e feriados: Encerrado,Obrigatória,Sim,Não tem,Não
1,ARS Norte,ACES Alto Minho, Valença (Laboratório Dra. Helena Rodrigues),"Avenida Dr. Tito Fontes, nº 31 4930-673 Valença",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 13H | 14H às 18H; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
2,ARS Norte,ACES Alto Minho, Arcos de Valdevez (Laboratório Dra. Helena Rodrigues),"Rua Dr. Félix Alves Pereira, nº 177 4970-456 Arcos de Valdevez",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 12H30; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
3,ARS Norte,ACES Alto Minho, Ponte da Barca (Laboratório Dra. Helena Rodrigues),"Hospital da Misericórdia de Ponte da Barca, Praça da República 4980-619 Ponte da Barca",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 11H30; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
4,ARS Norte,ACES Alto Minho, Lanheses (Laboratório Dra. Helena Rodrigues),Largo da Feira 4925-411 Lanheses,251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 11H30; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
5,ARS Norte,ACES Alto Minho, Viana do Castelo (Laboratório Dra. Helena Rodrigues),"Rua de Altamira, nº 53 r/c 4900-337 Viana do Castelo",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"2ªF e 5ªF: 08H30 às 11H; 3ªF, 4ªF, 6ªF, sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
6,ARS Norte,ACES Alto Minho, Vila Praia de Âncora (Laboratório Dra. Helena Rodrigues),"Rua 5 de Outubro nº 103A, r/c D 4910-456 Vila Praia de Âncora",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 11H; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
7,ARS Norte,ACES Alto Minho, Monção (Laboratório Dra. Helena Rodrigues),"Estrada dos Arcos, Edf. Avenida, Bloco1, loja 4 4950-436 Monção",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 12H30 | 14H30 às 18H; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
8,ARS Norte,ACES Alto Minho, Monção - Mazedo (Laboratório Dra. Helena Rodrigues),"Santa Casa da Misericórdia de Monção, Barreiras, Mazedo 4950-277 Mazedo",251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 11H30; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
9,ARS Norte,ACES Alto Minho, Melgaço (Laboratório Dra. Helena Rodrigues),Praça Ribeiro do Porto nº14 4960-568 Melgaço,251249900 ,laboratorio@helenarodriguesanalisesclinicas.pt,"De 2ª a 6ª feira: 08H às 12H; Sábados, domingos e feriados: Encerrado",Obrigatória,Sim,Não tem,Sim
